"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-01",,"78","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-02",,"77","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-03",,"74","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-04",,"79","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-05",,"74","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-06",,"81","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-07",,"79","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-08",,"82","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-09",,"76","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-10",,"74","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-11",,"76","60",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-12",,"81","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-13",,"83","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-14",,"80","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-15",,"85","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-16",,"76","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-17",,"75","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-18",,"84","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-19",,"76","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-20",,"75","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-21",,"76","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-22",,"79","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-23",,"79","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-24",,"72","57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-25",,"75","57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-26",,"71","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-27",,"78","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-28",,"71","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-29",,"68","54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-30",,"65","55",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-01",,"67","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-02",,"74","57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-03",,"77","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-04",,"73","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-05",,"65","60",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-06",,"69","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-07",,"73","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-08",,"76","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-09",,"67","60",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-10",,"66","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-11",,"71","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-12",,"69","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-13",,"69","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-14",,"76","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-15",,"79","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-16",,"76","56",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-17",,"61","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-18",,"58","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-19",,"66","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-20",,"75","56",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-21",,"73","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-22",,"69","57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-23",,"59","48",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-24",,"59","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-25",,"73","55",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-26",,"63","54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-27",,"61","53",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-28",,"57","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-29",,"56","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-30",,"64","53",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-31",,"63","55",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-01",,"58","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-02",,"53","44",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-03",,"51","41",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-04",,"50","39",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-05",,"51","39",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-06",,"52","40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-07",,"53","40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-08",,"63","44",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-09",,"68","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-10",,"64","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-11",,"61","45",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-12",,"65","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-13",,"62","40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-14",,"48","38",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-15",,"47","39",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-16",,"49","36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-17",,"57","38",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-18",,"69","46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-19",,"48","39",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-20",,"47","35",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-21",,"56","44",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-22",,"55","35",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-23",,"42","32",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-24",,"45","30",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-25",,"56","39",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-26",,"47","37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-27",,"39","34",


